galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
NGC 5985,T3,HIGH,GIANT,10.0,6563.522270881915,0.3704756136904713,7.386487427442187,1.7243762057800838,0.1248806998366369,0.1581776008937867,0.6614669846270048,33,305.0,26.77819770094636,1038.2022062211984,False
NGC 0289,T2,MEDIUM,SPIRAL,6.7,20835.150913047622,-0.2412980748410772,7.8238759134391795,5.246231588816882,0.1394508791537286,0.0048829214868093,0.5959376288543416,28,194.0,14.596979129578855,101.73640607424072,True
NGC 6674,T2,HIGH,BULGE-DOM,6.2,14970.85132192896,0.0307032918616935,14.54174230227726,2.636120641065004,0.0416039513194506,0.0140048889193321,0.5613562925602917,15,291.0,26.410185459572748,209.66510979146528,True
UGC 02953,T3,MEDIUM,BULGE-DOM,8.8,141664.65773515732,-0.398942280393629,9.714334314968236,6.101710720879017,0.442617659865005,0.0021621958161072,0.3181814722539853,115,319.0,28.026651090739723,306.3067302452316,True
NGC 5033,T2,MEDIUM,BULGE-DOM,7.4,82842.22778684199,-0.398936106916654,11.314932299299135,5.583783167608268,0.0650114152704783,0.0034851726193104,0.4758643291890905,22,225.0,18.17373214948096,288.71946400538235,True
UGC 09133,T3,MEDIUM-HIGH,BULGE-DOM,9.3,114469.35728519736,-0.3989422800148098,10.412489575407855,9.664635014073594,0.2803542398791516,0.0011301124698542,0.3346298353886279,68,289.0,29.8722658281417,129.36324808420275,True
UGC 06787,T3,HIGH,BULGE-DOM,9.0,272010.3591714285,-0.3989422804014327,11.705007066899478,3.751951430176252,0.2866915758295955,0.0012866424907886,0.4055728129328102,71,276.0,16.771270466485078,349.9800860446357,True
UGC 06786,T3,HIGH,BULGE-DOM,8.6,91687.30508749996,-0.3989421368421985,11.69753661908068,0.9107762326393398,0.0994459263963349,0.0033719913408972,0.3713754764463073,45,229.0,15.197387938219194,309.168798825257,True
NGC 7814,T3,HIGH,BULGE-DOM,10.5,145488.97828599118,-0.3989422804014138,10.365398774115045,2.405461674514536,0.0126625328447924,0.0062024825001383,0.922723069420307,18,265.0,14.757566756826796,902.3928417818736,True
UGC 02885,T3,PLATINUM,BULGE-DOM,9.0,38177.93558980163,-0.3969533469397829,19.333453259627287,5.225953522447055,0.2500712294101507,0.0119080446919819,0.6336404793121446,19,305.0,34.758155399353754,454.6245632509789,True
NGC 2841,T3,MEDIUM,BULGE-DOM,9.0,21762.96202416105,-0.3517512917953862,27.268479207913504,0.1858805306733025,0.0692045020889939,0.0127059601873742,0.1859146012540126,50,323.0,25.22428246808653,276.5193290383407,True
UGC 02487,T3,HIGHEST,BULGE-DOM,10.8,10902.5277611796,-0.1471401210039351,35.028089057906485,0.172155628506257,0.1430323834009826,0.0333743067449947,0.6126292103116151,17,383.0,39.40305733014719,363.86430579746207,False
