galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
UGC 00191,T2,MEDIUM,SPIRAL,5.0,932.3110591133004,2.443922572482278,0.347931264924569,0.2652833724983555,0.04691998506453,0.2318459090417375,0.2032481578454109,9,83.85,0.87,216.1525050100201,False
UGC 00731,T1,MEDIUM,DWARF,3.7,162.32935429828697,2.7024650707129863,0.6943082430981828,0.2765596346733205,0.0047947749089535,0.8146022598062972,0.8526623283090955,12,74.0,8.19,132.23385884509622,False
UGC 07524,T2,HIGH,SPIRAL,4.7,551.2594260869562,2.5729388001562845,0.1139137053417108,0.5584726746392641,0.0185642533012589,0.4518636686349868,0.3104657254127639,31,83.8,0.35,249.09410664172125,False
NGC 0247,T2,HIGH,SPIRAL,7.4,563.719081684241,2.473940205498652,0.1825704443203346,0.7499075331423761,0.0192249888269628,0.4372678138143179,0.4259124859534708,26,108.0,2.15,246.49621045392024,False
DDO 161,T2,MEDIUM-LOW,DWARF,5.0,478.9560010286744,2.585459263232304,0.2804930762381799,1.2720120044224963,0.0057489619792652,0.1496155218909219,0.8829381592153913,31,67.5,2.02,71.65925205684367,False
UGC 03205,T2,HIGH,BULGE-DOM,7.9,33628.32597612268,-0.3883709635609979,6.7004490599597135,2.796988935488095,0.325684210465449,0.0107255965224062,0.323421286875598,48,237.0,19.508788837548902,360.6838561438561,True
NGC 3109,T3,HIGH,DWARF,11.5,165.718894866706,2.616905347915308,0.8624099712155422,0.0482303919605723,0.0338769841436597,0.5014679421114641,0.3648141217311044,25,67.3,2.06,83.10271317829458,False
D631-7,T1,MEDIUM,DWARF,3.6,509.2096629629629,2.621602881985191,0.6179309029792512,0.4631624835160411,0.0375627803634823,0.1076219324600132,0.7120684531829147,16,58.5,1.35,54.80212795549373,False
F568-3,T2,MEDIUM-LOW,SPIRAL,7.6,498.231190385271,2.497743786060035,0.4812200904851591,0.4330286589594742,0.1183464221863684,0.437483233079234,0.1913742469321094,18,120.0,4.19,217.9677919911012,False
F583-1,T2,MEDIUM,SPIRAL,5.0,237.3697833118438,2.6637381925900296,0.6508007068573758,0.1651899586813531,0.1017673412938769,0.4809448866007285,0.5124014046933238,25,86.9,1.22,114.16178351783516,False
DDO 168,T2,MEDIUM,DWARF,7.7,578.8923516129032,2.4563856967934217,0.3064630973042138,0.2659757565199273,0.0458590065238743,0.3291708549266754,0.3927988823531684,10,55.0,0.82,190.5544902912621,False
UGC 04278,T2,HIGH,SPIRAL,6.0,623.0601019381443,2.50073778615065,0.2899652411583652,0.191379615390161,0.0434858150643622,0.635853405890323,0.9250677475025008,25,92.8,1.25,396.1748878923767,False
UGC 01230,T2,HIGH,SPIRAL,6.0,704.8977383524278,2.470379161607161,0.4427761577447336,1.03011493560191,0.1550651920703902,0.0987069812742026,0.7576315344000524,11,113.0,2.35,69.5783278598796,False
F563-V2,T2,MEDIUM,SPIRAL,6.0,632.9929935651271,2.49703600462164,0.6856635836822761,0.3796246090123448,0.1110680334207763,0.451624581477539,0.7554969985805117,10,118.0,2.35,285.8751957975167,False
F574-1,T2,MEDIUM,SPIRAL,5.5,755.3445920567377,2.4749949889690788,0.2145289091961902,0.2920064517513877,0.0657580718747807,0.3593688815992636,0.6186849500171805,14,99.7,1.41,271.4473412698413,False
UGC 05005,T2,HIGH,SPIRAL,6.0,434.24644029044737,2.5720115083101747,0.6838054766075647,1.2014176096848128,0.0299196467423934,0.17621294985461,0.6572922311805376,11,100.0,3.91,76.51984620761972,False
NGC0100,T2,MEDIUM,SPIRAL,7.5,1072.6607374137138,2.2450531054003684,0.593537803235304,0.7149501562959051,0.0327492133583737,0.2013249390565372,0.4276713856252688,21,91.2,1.59,215.9533575883576,False
UGC 08286,T2,HIGH,SPIRAL,5.6,677.7704239840107,2.4971876906603403,0.4225985430126094,0.0339923991418427,0.0226058653970278,0.2651075252657658,0.7039426356976336,17,84.3,2.37,179.68203980099506,False
F563-1,T2,MEDIUM,SPIRAL,5.6,337.5563497134606,2.6179043574068324,1.8474656090559904,0.2822221502268366,0.1551164334361933,0.2558630111762406,0.3758745042588218,17,112.5,1.78,86.368184079602,False
