scale_Vdisk,ML_factor,ML,g98,beta,Hermes_chi2nu,Hermes_outer_chi2nu,Hermes_outer_mean_residual,MOND_chi2nu,MOND_outer_chi2nu,MOND_outer_mean_residual
1.425,2.030625,1.38619972616059,5320.324643840636,1.1859277861746693,2.418899307780905,3.803206171335175,-41.53928304594973,0.7089207686165001,0.1963135925583418,7.392777001439317
1.4500000000000002,2.1025000000000005,1.4352649673143199,5506.275582033253,1.1484760642494398,2.426103134622936,3.709580485682656,-40.993156163307475,0.797805721897471,0.233786922800927,8.383927171997733
1.475,2.175625,1.4851835170098533,5695.460449585742,1.1112811175754622,2.441903880972419,3.61895397248522,-40.45649274748226,0.8927112357393503,0.2756315424791299,9.374541674764371
1.5,2.25,1.535955375247191,5887.879246498102,1.0743673349505467,2.4693270971561834,3.5310732493309995,-39.92745169041827,0.9936336021666562,0.3218371549894438,10.36452881974859
1.5250000000000001,2.3256250000000005,1.587580542026333,6083.531972770335,1.0377581675970942,2.5515027278353335,3.4362784617499837,-39.184028519399305,1.1005687767366499,0.372392272021206,11.353805071085807
1.55,2.4025000000000003,1.6400590173472784,6282.418628402439,1.001476113552645,2.538852265911924,3.401246165783241,-39.201397593390276,1.2135124470290004,0.4272843608658183,12.342294443648605
1.575,2.480625,1.693390801210028,6484.5392133944115,0.9655427044019587,2.5308034180641568,3.321076456381448,-38.70550106224304,1.3324600935513684,0.48649997848932386,13.329927943645679
1.6,2.5600000000000005,1.747575893614582,6689.893727746259,0.929978494325135,2.5807107915995933,3.2873105168066736,-38.56461830949279,1.4574070437965805,0.5500248934606089,14.316643050073473
1.625,2.640625,1.8026142945609394,6898.482171457978,0.8948030514302787,2.584685565061142,3.2099617957674655,-38.075732496505715,1.5883485201194556,0.6178441967456121,15.302383234084934
1.6500000000000001,2.7225000000000006,1.8585060040491013,7110.304544529571,0.8600349513334307,2.5916971573986105,3.135019223487217,-37.595037407578246,1.725279682039525,0.6899424023006053,16.28709751353126
1.675,2.805625,1.915251022079067,7325.360846961032,0.8256917729430111,2.6011256941393235,3.06240359989825,-37.12244571219608,1.86819566351952,0.7663035383250073,17.2707400401161
1.7000000000000002,2.8900000000000006,1.972849348650837,7543.651078752366,0.7917900964008151,2.6799468055024027,3.0392143084049756,-37.03463044375335,2.017091605718251,0.8469112299662912,18.25326971677692
1.725,2.9756250000000004,2.0313009837644103,7765.17523990357,0.7583455031266806,2.6921147727631114,2.9687753380036095,-36.56787834231821,2.171962685669654,0.9317487742061383,19.234649843073722
1.75,3.0625,2.0906059274197877,7989.933330414645,0.7253725779093416,2.7057226854661955,2.9003781508660325,-36.107718015081396,2.332804141297373,1.0207992075980934,20.21484778652225
1.7750000000000001,3.1506250000000007,2.1507641796169694,8217.925350285595,0.6928849129816974,2.7206600065372473,2.833954893031518,-35.65407984118811,2.4996112931354886,1.114045367472254,21.19383467795596
1.8,3.24,2.211775740355955,8449.151299516416,0.660895114014747,2.804368301007335,2.81265100144558,-35.55794878564066,2.6723795630909395,1.2114699471719126,22.17158512913947
1.8250000000000002,3.330625000000001,2.273640609636745,8683.611178107107,0.6294148079607975,2.8200778574622616,2.747692122363363,-35.10562608657916,2.8511044905512772,1.3130555458402469,23.14807697098598
1.85,3.4225000000000003,2.3363587874593383,8921.30498605767,0.5984546526732413,2.836766302961829,2.6844913056590056,-34.6587308021796,3.0357817461123435,1.4187847132319387,24.123291010851425
1.875,3.515625,2.399930273823736,9162.232723368103,0.568024348227224,2.8543845795734004,2.6229612340444595,-34.21688125917055,3.226407143174323,1.5286399899848344,25.09721080749179
1.9000000000000001,3.6100000000000003,2.464355068729938,9406.394390038411,0.5381326498628691,2.9355476417299506,2.6091584924979268,-34.15121305824615,3.422976647630635,1.6426039437500637,26.06982246237439
1.925,3.7056250000000004,2.529633172177943,9653.789986068587,0.5087873824704323,2.953166850459113,2.5479521766741757,-33.70299134646965,3.6254863858525876,1.7606592015453733,27.0411144261318
1.9500000000000002,3.8025000000000007,2.5957645841677532,9904.419511458638,0.47999545653476344,2.9715260764826597,2.4882327738378205,-33.258486002670075,3.8339326511531264,1.8827884786654638,28.011077319037895
1.975,3.9006250000000002,2.662749304699367,10158.28296620856,0.4517628854548367,2.990158033967259,2.429964806464914,-32.81771181367241,4.0483119088951725,2.008974604454685,28.97970376446924
