label,mass_bin,R_mpc,n_slices_used,slope_bx_per_dn4000,slope_bx_err,intercept_ax,intercept_ax_err,chi2,dof,chi2_pvalue
FULL,10.4-10.7,4.127020926340092,5,-0.20182122154854581,0.1687498128830694,0.9689232038212656,0.5615769772048765,0.8220795553099374,3,0.8441789313208471
FULL,10.7-11.0,0.0605763829314294,5,11.77852000182475,12.89940352995294,-65.21004619089764,43.30802625401528,2.047800599198318,3,0.5625450178862581
FULL,10.7-11.0,0.0889139705019461,5,13.715486220477176,8.644482851518628,-29.327975237735973,28.859064204078066,3.4542057383669142,3,0.3267502318785686
FULL,10.7-11.0,0.1305078607841268,5,4.85962410399521,5.892605472452167,-7.603423707247344,19.756151991270176,2.03938745490415,3,0.5642720676088553
FULL,10.7-11.0,0.1915593424778643,5,-0.9309107062764483,3.9731816433639513,5.408667634093854,13.354704486386227,2.418033663060615,3,0.4902864907094032
FULL,10.7-11.0,0.2811706625951745,5,-1.7419041879134052,2.728472533085352,3.4038133584781,9.096758726537582,2.267193316437473,3,0.5188349138751269
FULL,10.7-11.0,0.4127020926340091,5,4.04259203006299,1.8630171100150572,-11.217581983385772,6.218333660799593,1.8960874521985231,3,0.5942516469364849
FULL,10.7-11.0,0.6057638293142941,5,-0.5542697151449314,1.2681242743997827,2.603293269310698,4.24387982171875,0.5376785411641442,3,0.9105389624079501
FULL,10.7-11.0,0.8891397050194609,5,0.3075697941951258,0.8685568688801233,-2.496812153907688,2.907482022303139,1.853726889087832,3,0.6033137272158684
FULL,10.7-11.0,1.3050786078412682,5,-0.5385223239954133,0.5928538144240437,1.3549601339284603,1.9803410058189397,0.7872106674539131,3,0.8525235638395365
FULL,10.7-11.0,1.9155934247786437,5,0.7521911190216464,0.4063142201174696,-3.103026236551273,1.3549280703416,1.6781005077998914,3,0.6418134789216159
FULL,10.7-11.0,2.8117066259517443,5,0.23668827815306268,0.2777685660469497,-0.4862806830687482,0.9239527583628236,10.114317924300389,3,0.01761897292810461
FULL,10.7-11.0,4.127020926340092,5,-0.07850812713774186,0.19093767726235472,-0.014991576333225719,0.634318395512473,4.479115575901131,3,0.21416071220312785
FULL,11.0-11.3,0.0605763829314294,5,-30.876491005115987,24.032140817372635,50.48761090234347,78.26134197838529,7.285602938383325,3,0.063330831047543
FULL,11.0-11.3,0.0889139705019461,5,-3.163751327534618,16.520449707890776,-34.55705884346011,54.821308959442675,1.212126050721409,3,0.7500974772340838
FULL,11.0-11.3,0.1305078607841268,5,-16.43894582495125,11.138938209038102,46.966809287360135,37.30813039570357,0.20951200496127662,3,0.9760393220211709
FULL,11.0-11.3,0.1915593424778643,5,-8.95555332625026,7.476357335423902,33.30520055580306,25.085300129493,2.947426979793444,3,0.39980213027232825
FULL,11.0-11.3,0.2811706625951745,5,-7.150997883145541,5.105059195730439,27.090944363382402,17.040705258731474,1.874672706030509,3,0.5988216517945606
FULL,11.0-11.3,0.4127020926340091,5,1.31420272325583,3.471710119825269,2.5706264562831462,11.479115178321893,5.860648357096796,3,0.11859035594405738
FULL,11.0-11.3,0.6057638293142941,5,-1.6739568330423604,2.365159247153705,4.780860294836252,7.86663542756095,2.492403227538813,3,0.47666555481726935
FULL,11.0-11.3,0.8891397050194609,5,3.164305149657495,1.6006648362183382,-11.534752076260967,5.3113146828179305,3.5525148431255302,3,0.31401472057854696
FULL,11.0-11.3,1.3050786078412682,5,0.5906420857032477,1.0966864952514168,1.4041165306255665,3.647686257100829,1.116236480274136,3,0.77315604910166
FULL,11.0-11.3,1.9155934247786437,5,-0.6819426118247405,0.7555248018702003,2.4426131676016425,2.5120473272563872,0.5383583515632785,3,0.9103869541372073
FULL,11.0-11.3,2.8117066259517443,5,0.19200339884550388,0.5098211139129794,-0.4873333370337826,1.6922630985436418,5.669918791437585,3,0.12882153106322736
FULL,11.0-11.3,4.127020926340092,5,-0.10697790843968415,0.35367962905064854,-0.006104840293854628,1.1730263835952928,4.476407692447146,3,0.2144043456738579
