mass_bin,dn4000_slice,R_mpc,DeltaSigma_Msun_per_pc2,DeltaSigma_err_Msun_per_pc2,DeltaSigma_x_Msun_per_pc2,denom_sum_w2_approx,num_sum_w1_et,N_lenses_used
9.5-9.8,3,0.06057638293142942,-40.87722729994552,69.79206984717204,-4.990699713340959,0.00018482158888311062,-0.007554994098711997,107
9.5-9.8,3,0.08891397050194613,-76.3586512467058,47.29281278465897,-58.51280905735147,0.00039506440939274245,-0.030166585456806224,107
9.5-9.8,3,0.13050786078412682,-15.34295098970363,32.93357677786013,-88.39380704605132,0.0008387334144533132,-0.012868645671383966,107
9.5-9.8,3,0.19155934247786435,22.866670147752036,22.525144402889108,-2.721477737588054,0.0017605217639452553,0.04025727046407473,107
9.5-9.8,3,0.2811706625951745,-21.76187337973426,15.86307476082818,4.260385895660477,0.0035923100791868112,-0.07817539708400655,107
9.5-9.8,3,0.4127020926340091,5.974055531770231,10.813677319153577,-13.648290233710647,0.007646635471757174,0.045681424939481415,107
9.5-9.8,3,0.6057638293142941,-6.145287927567767,7.42024871824894,-8.69756981426444,0.01631650848059163,-0.10026964258583683,107
9.5-9.8,3,0.8891397050194609,-1.7237065683833313,5.026287522364013,2.4890799851133325,0.03557584033237626,-0.061322309656673596,107
9.5-9.8,3,1.3050786078412682,-0.742853892195122,3.416005319002234,0.07204867423944677,0.07692561854243474,-0.05714449514376489,107
9.5-9.8,3,1.9155934247786433,2.760766207304795,2.3540086047698026,-4.344482699791183,0.1611739195088422,0.44496351047887456,107
9.5-9.8,3,2.8117066259517443,-4.763519988276843,1.6106879552808107,0.4802319831844127,0.3475301418887877,-1.6554667774159277,107
9.5-9.8,3,4.127020926340092,-0.3343281534571305,1.1025354528066127,0.11108145142310347,0.7392422787292645,-0.2471495060049964,107
9.5-9.8,4,0.06057638293142942,26.253918409055224,79.34668974542039,69.2652451498411,0.0001452389050091707,0.0038130903619312895,107
9.5-9.8,4,0.08891397050194613,69.57400050062006,50.75087442984369,14.938240217937803,0.0003430951703806695,0.023870503555825023,107
9.5-9.8,4,0.13050786078412682,17.568928739762878,35.79772737424675,21.517272915570018,0.0007089652914963607,0.012455760685264779,107
9.5-9.8,4,0.19155934247786435,-10.758874038163434,24.332330421641075,2.5980311537357488,0.0015188369957998549,-0.016340975922313202,107
9.5-9.8,4,0.2811706625951745,2.6903469870074157,16.378094799034205,11.405853777787447,0.003361003027101267,0.009042264367284697,107
9.5-9.8,4,0.4127020926340091,-1.857534583902143,11.097260284233979,-4.742497451542345,0.007259846276525372,-0.013485415532459081,107
9.5-9.8,4,0.6057638293142941,-5.097491046528748,7.656905147700203,4.156192362440431,0.01539829864704112,-0.07849268948506784,107
9.5-9.8,4,0.8891397050194609,8.003887417640868,5.173086508017875,-7.574943283013075,0.03344084498324662,0.2676567583966864,107
9.5-9.8,4,1.3050786078412682,-2.7872299250174852,3.5361544301359107,7.249674954694067,0.07188464094598945,-0.20035902239379902,107
9.5-9.8,4,1.9155934247786433,-4.554356325559956,2.382764001395436,0.9774593286000481,0.1574791161346738,-0.7172160087115426,107
9.5-9.8,4,2.8117066259517443,0.5599889368094264,1.645047139491411,-0.889127298919952,0.3343357188668694,0.1872243037456735,107
9.5-9.8,4,4.127020926340092,0.7085173264510249,1.118546593348088,0.5903205345005488,0.7133119139082851,0.5053938501679618,107
9.5-9.8,5,0.06057638293142942,-2.4639965062628892,71.99864278725772,-168.7915101505131,0.00017376833463544905,-0.0004281645694408671,107
9.5-9.8,5,0.08891397050194613,26.18680205658288,49.7339799594725,12.056114201370514,0.0003674750113926706,0.009622995384080403,107
9.5-9.8,5,0.13050786078412682,-98.72192482740986,32.77910893159664,31.965254070520945,0.0008327513569589273,-0.08221081686162278,107
9.5-9.8,5,0.19155934247786435,-35.843645359966445,22.06303850769566,-35.90129890789363,0.00183617592480817,-0.06581523866733245,107
9.5-9.8,5,0.2811706625951745,24.769775381993753,15.548630029905565,-13.344714048179565,0.0037413277720338423,0.0926718485436934,107
9.5-9.8,5,0.4127020926340091,-3.8362717926682537,10.691680296105641,17.8118083576216,0.007936801099219348,-0.030447726180953576,107
9.5-9.8,5,0.6057638293142941,0.5613352179582114,7.2235383799363015,-4.853643347794357,0.017262863525891348,0.009690253259889077,107
9.5-9.8,5,0.8891397050194609,-6.841169199519718,4.9139840219035955,1.8243922256665106,0.03712234522517921,-0.2539602447684339,107
9.5-9.8,5,1.3050786078412682,2.3381939337694733,3.400675733294406,0.13329909697731163,0.07763056609591423,0.18151531872055682,107
9.5-9.8,5,1.9155934247786433,-2.801747497488066,2.3485092666848875,1.3218035954842982,0.163391117544748,-0.4577806546927762,107
9.5-9.8,5,2.8117066259517443,-1.4746204593883412,1.6106246124793173,2.4270502760029387,0.34718394750701975,-0.5119645521650592,107
9.5-9.8,5,4.127020926340092,2.0837395479403136,1.1092807184922941,1.165673939884997,0.7280858110869026,1.517141198855979,107
9.8-10.1,1,0.06057638293142942,-57.85301326065802,53.13849794412983,5.641289124628443,0.00031811899453532133,-0.01840414240931914,224
9.8-10.1,1,0.08891397050194613,-2.99446845673241,35.313131722234004,-14.505792142678674,0.0007230741659056683,-0.002165222781682621,224
9.8-10.1,1,0.13050786078412682,3.558805849554768,24.231908533111703,-1.5195969588164164,0.0015331685131483308,0.0054562490729454655,224
9.8-10.1,1,0.19155934247786435,-2.17056546966908,16.57240037091135,-5.950108334826376,0.003277055971162013,-0.007113064533177137,224
9.8-10.1,1,0.2811706625951745,13.990845088738846,11.20978715022419,9.525862842856215,0.0071359453240157356,0.09983790559001449,224
9.8-10.1,1,0.4127020926340091,6.210194668338317,7.625514746449746,-11.715769740039782,0.015384367827803724,0.09553991905998221,224
9.8-10.1,1,0.6057638293142941,-7.970547903459905,5.246092755397553,-19.415014661104863,0.0325931875842784,-0.2597855629669456,224
9.8-10.1,1,0.8891397050194609,-2.0551724991652005,3.5728329323286183,-5.9071973032042004,0.0700442500388112,-0.14395301640441582,224
9.8-10.1,1,1.3050786078412682,-0.01402644950459698,2.430942096528262,5.084924324123812,0.15137565146347143,-0.002123262931477854,224
9.8-10.1,1,1.9155934247786433,3.0247839107311227,1.6737859412225777,-0.3304543915603068,0.3191427382715748,0.9653378199505331,224
9.8-10.1,1,2.8117066259517443,-0.038958879532479604,1.1495205810510598,-0.6607241348595095,0.6789812492254814,-0.026452348693388042,224
9.8-10.1,1,4.127020926340092,1.1402870655021227,0.7864747918834778,-0.8837727725372985,1.4493373357156258,1.6526606174658358,224
9.8-10.1,2,0.06057638293142942,83.21471769880704,48.94028830342335,21.34209370025013,0.00036887043165195754,0.03069544883735474,223
9.8-10.1,2,0.08891397050194613,34.36621940140775,34.06243310046382,-20.42077812540486,0.0007734743922109821,0.026581390664093117,223
9.8-10.1,2,0.13050786078412682,23.160084585170193,23.899521985274333,-37.017627320309266,0.0015856992077497578,0.03672492777812175,223
9.8-10.1,2,0.19155934247786435,20.76776945071872,15.923097837283867,9.854908545944465,0.0035373289691514875,0.07346243250268661,223
9.8-10.1,2,0.2811706625951745,24.789733986021716,10.90406260110166,-7.7218071187197115,0.0075300541652645325,0.18666803965724257,223
9.8-10.1,2,0.4127020926340091,-1.3758356921835948,7.4537478097925405,-14.598552849396267,0.016137763177129116,-0.022202910571100364,223
9.8-10.1,2,0.6057638293142941,-3.307816485038097,5.052871135447,-4.6947569566740315,0.03505319051571765,-0.11594952144107191,223
9.8-10.1,2,0.8891397050194609,5.19743627978363,3.4477416339090925,-0.5968605323793819,0.07553960131770632,0.39261226444903813,223
9.8-10.1,2,1.3050786078412682,4.2221278501154975,2.356637452793887,1.1393334167415412,0.16155966911072528,0.6821255784078377,223
9.8-10.1,2,1.9155934247786433,-1.3433455614697267,1.6051279719147018,-1.5335084828348664,0.34647856306952995,-0.46544043984386185,223
9.8-10.1,2,2.8117066259517443,0.8791464856905185,1.1195599587938807,-0.0591547543529127,0.7192834656037377,0.6323555310008229,223
9.8-10.1,2,4.127020926340092,0.8188261818838013,0.7720120073666896,-0.1233469207952769,1.5017864061511688,1.2297020289537572,223
9.8-10.1,3,0.06057638293142942,-53.772000925244576,49.73255086380041,-16.31103064845604,0.00036477348295360645,-0.019614600062886012,223
9.8-10.1,3,0.08891397050194613,54.520730717512016,33.88123338722155,23.40086635712531,0.0007841957844372249,0.04275492719311004,223
9.8-10.1,3,0.13050786078412682,66.38838811717987,22.873299079722255,-6.766535151895774,0.0017112880858424218,0.11360965762321253,223
9.8-10.1,3,0.19155934247786435,9.03956006706032,15.593134622160756,8.142256522331907,0.0036915930011061082,0.03337037667663814,223
9.8-10.1,3,0.2811706625951745,-8.09834293479941,10.564210309109752,4.2681988511665265,0.008004835708271374,-0.0648259047023095,223
9.8-10.1,3,0.4127020926340091,-0.8352820270105897,7.246879186745158,-4.449263952811715,0.017063611463055517,-0.014252927970982147,223
9.8-10.1,3,0.6057638293142941,-7.272704392315782,4.927116799045976,-1.4502869104495184,0.03694758065373438,-0.2687088321058556,223
9.8-10.1,3,0.8891397050194609,2.360458693095567,3.358074486170651,3.2963143354287774,0.07931423833076945,0.18721798335411838,223
9.8-10.1,3,1.3050786078412682,-2.5548726290609802,2.3276361437924424,0.5612206021793996,0.16591167104517268,-0.42388318719508083,223
9.8-10.1,3,1.9155934247786433,-0.06604289623883856,1.5818605992221362,0.8443357994504013,0.3566650922873267,-0.023555195681947697,223
9.8-10.1,3,2.8117066259517443,1.0623749460586438,1.1016195469221213,-0.12115948926276691,0.7411834370306547,0.787414713935002,223
9.8-10.1,3,4.127020926340092,0.6457454064593875,0.7619624159629586,0.9517731746495416,1.5410263865404659,0.9951107103412143,223
9.8-10.1,4,0.06057638293142942,-22.952511179551426,51.770935842834525,-11.448151904687096,0.0003377742178979348,-0.007752766512466588,223
9.8-10.1,4,0.08891397050194613,15.88093734263855,34.91737339400824,-37.772765156965335,0.0007423558190438606,0.011789306248178671,223
9.8-10.1,4,0.13050786078412682,-18.521010948358395,23.293987483040716,-18.99134244949824,0.0016602167774995569,-0.030748893112717588,223
9.8-10.1,4,0.19155934247786435,9.782539086375355,15.749955635411396,23.81443368978716,0.0036206483479328533,0.03541913398167349,223
9.8-10.1,4,0.2811706625951745,7.948144231334323,10.991664574020538,8.750220136708792,0.007459765481971026,0.059291291982634914,223
9.8-10.1,4,0.4127020926340091,15.092392309595523,7.415900400358225,0.04624196005535236,0.01630522932046166,0.246084917602327,223
9.8-10.1,4,0.6057638293142941,-3.5169524452420027,5.037462790224119,4.773435832559693,0.03525710323445219,-0.12399755543255636,223
9.8-10.1,4,0.8891397050194609,-0.38545634565446096,3.4230931052949587,5.029210664831672,0.07648951779427016,-0.02948337000985124,223
