label,mass_bin,R_mpc,n_slices_used,slope_b_per_dn4000,slope_b_err,intercept_a,intercept_a_err,chi2,dof,chi2_pvalue
FULL,9.8-10.1,0.4127020926340091,5,-1.158604682886799,2.3788983527693492,5.679801733641703,7.9138488619366,5.3299493180485715,3,0.14917078793911262
FULL,9.8-10.1,0.6057638293142941,5,1.9955521930649405,1.6351619736957754,-10.013750697167607,5.426489692534454,0.998368631811434,3,0.8016467001561279
FULL,9.8-10.1,0.8891397050194609,5,-1.0570588530304716,1.110945870878561,3.4300272349806784,3.694039726436256,3.70425186800922,3,0.2952213964554489
FULL,9.8-10.1,1.3050786078412682,5,-0.09860711073134268,0.7589726997195186,0.622729250774113,2.520293988072258,8.149641663630309,3,0.04301821004847373
FULL,9.8-10.1,1.9155934247786437,5,-0.780957212734062,0.5206627263784538,2.1212453624686374,1.7291609210742145,3.088388130848538,3,0.3781972128725113
FULL,9.8-10.1,2.8117066259517443,5,-0.264670949944543,0.35864411635879145,1.0977144893772097,1.1927800902398649,2.580211250996753,3,0.4609693365326534
FULL,9.8-10.1,4.127020926340092,5,-0.13617737415562614,0.24640219589079757,1.0920093166104274,0.8187561474283724,1.1278822749164006,3,0.7703478102213969
FULL,10.1-10.4,0.0605763829314294,5,4.699820474199829,12.65699492382326,23.29005639715185,41.87360161239141,3.336887132684865,3,0.34254155217317744
FULL,10.1-10.4,0.0889139705019461,5,-18.874135441548532,8.512238568257011,56.69133016658183,28.598272028561983,0.6328937244137964,3,0.8888625223163527
FULL,10.1-10.4,0.1305078607841268,5,9.795363157035899,5.767805891911155,-26.236620951973723,19.36995711405744,4.5989454132919025,3,0.20363256813488367
FULL,10.1-10.4,0.1915593424778643,5,0.08500483538374844,3.912020118641407,5.098455084886161,13.017469070540784,5.478092041062086,3,0.13995484357627272
FULL,10.1-10.4,0.2811706625951745,5,-5.9020956008605046,2.6812690506198877,25.596707583594625,8.9556922285726,3.5691910548871206,3,0.311898526252196
FULL,10.1-10.4,0.4127020926340091,5,0.7985279701919491,1.813130854500088,-6.896184544268169,6.0594068453155865,4.377124816197471,3,0.223515844048481
